S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
730,BCA,Staircase,Mark,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_Stair,Mark,Label,N.A,N.A,N.A,"ST1, ST-A1",IfcStairN.A,skip,Stair,Stair,okay
731,BCA,Staircase,Member Section,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairDimension,MemberSection,Label,N.A,N.A,N.A,"RHS600x30x4, CHS500x3.0, 254x254x63 kg/m",IfcStairN.A,skip,Stair,Stair,okay
732,BCA,Staircase,ReferTo2DDetail,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_Stair,ReferTo2DDetail,Label,N.A,N.A,N.A,Dwg Number,IfcStairN.A,skip,Stair,Stair,okay
733,BCA,Staircase,Reinforcement Steel Grade,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_Stair,ReinforcementSteelGrade,Label,N.A,N.A,"500A, 500B, 500C, 600A, 600B, 600C",N.A,IfcStairN.A,skip,Stair,Stair,okay
734,BCA,Staircase,Section Fabrication Method,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_Stair,SectionFabricationMethod,Label,N.A,N.A,"Hot rolled, Cold formed",N.A,IfcStairN.A,skip,Stair,Stair,okay
735,BCA,Staircase,Thickness,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairDimension,Thickness,Length,mm,N.A,N.A,150,IfcStairN.A,skip,Stair,Stair,okay
736,BCA,Staircase,Top Distribution,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairReinforcement,TopDistribution,Label,N.A,N.A,N.A,H25-150+H16-300,IfcStairN.A,skip,Stair,Stair,okay
737,BCA,Staircase,Top Main,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairReinforcement,TopMain,Label,N.A,N.A,N.A,H32-150+H20-300,IfcStairN.A,skip,Stair,Stair,okay
738,BCA,Staircase,Width,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairDimension,Width,Length,mm,N.A,N.A,2200,IfcStairN.A,skip,Stair,Stair,okay
739,BCA,Staircase,Construction Method,Stairs,Stair,Component,Stair,STR,IfcStairFlight,N.A,SGPset_Stairflight,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcStairFlightN.A,skip,StairFlight,Stairflight,okay
740,BCA,Staircase,Material Grade,Stairs,Stair,Component,Stair,STR,IfcStairFlight,N.A,SGPset_Material,MaterialGrade,Label,N.A,Name,"C12/15, C20/25, C30/37, C32/40, C35/45, C40/50, C50/60, C55/67, C60/75, C70/85, C80/95, S235, S275, S355, S460",N.A,IfcStairFlightN.A,skip,StairFlight,Material,check
741,BCA,Staircase,Mechanical Connection Type,Stairs,Stair,Component,Stair,STR,IfcStairFlight,N.A,SGPset_StairFlight,MechanicalConnectionType,Label,N.A,N.A,N.A,N.A,IfcStairFlightN.A,skip,StairFlight,StairFlight,okay
742,SCDF,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,STORAGE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankSTORAGE,check,Tank,#N/A,#N/A
743,PUB,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,*DETENTIONTANK,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankDETENTIONTANK,okay,Tank,#N/A,#N/A
744,PUB,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,*RAINWATERHARVESTINGTANK,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankRAINWATERHARVESTINGTANK,okay,Tank,#N/A,#N/A
745,PUB,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,*IRRIGATIONTANK,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankIRRIGATIONTANK,okay,Tank,#N/A,#N/A
746,PUB,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,*SPRINKLERTANK,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankSPRINKLERTANK,okay,Tank,#N/A,#N/A
747,PUB,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,*BALANCINGTANK,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankBALANCINGTANK,okay,Tank,#N/A,#N/A
748,PUB,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,*SECTIONAL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankSECTIONAL,okay,Tank,#N/A,#N/A
749,PUB,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,VESSEL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankVESSEL,check,Tank,#N/A,#N/A
750,PUB,Tank,N.A,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,*RECHARGEWELL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTankRECHARGEWELL,okay,Tank,#N/A,#N/A
751,PUB,Tank,Is Potable,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",SGPset_Tank,IsPotable,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
752,PUB,Tank,Nominal Capacity,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",Pset_TankTypeCommon,NominalCapacity,Volume,m3,N.A,N.A,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
753,PUB,Tank,Effective Capacity,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",Pset_TankTypeCommon,EffectiveCapacity,Volume,m3,N.A,N.A,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
754,PUB,Tank,Diameter,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",SGPset_TankDimension,Diameter,Length,mm,N.A,N.A,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
755,PUB,Tank,Height,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",SGPset_TankDimension,Height,Length,mm,N.A,N.A,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
756,PUB,Tank,Length,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",SGPset_TankDimension,Length,Length,mm,N.A,N.A,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
757,PUB,Tank,Thickness,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",SGPset_TankDimension,Thickness,Length,mm,N.A,N.A,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
758,PUB,Tank,Width,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",SGPset_TankDimension,Width,Length,mm,N.A,N.A,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
759,PUB,Tank,Trade Effluent,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",SGPset_Tank,TradeEffluent,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
760,PUB,Tank,EquipmentType,Mechanical Equipment,Object,N.A,Object,MEP,IfcTank,"STORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",SGPset_Tank,EquipmentType,Label,N.A,N.A,N.A,N.A,"IfcTankSTORAGE, *DETENTIONTANK, *RAINWATERHARVESTINGTANK, *IRRIGATIONTANK, *SPRINKLERTANK, *BALANCINGTANK, *SECTIONAL, VESSEL, *RECHARGEWELL",skip,Tank,Tank,okay
761,PUB,Tank (RC Tank),SpaceName,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,SpaceName,Label,N.A,N.A,"balancing tank, detention tank, domestic booster tank, domestic water tank, hot water tank, make up water tank, NEWater tank, pneumatic tank, portable water tank, rainwater harvesting tank, irrigation tank, sprinkler tank",N.A,IfcSpaceSPACE,check,Space,Space,okay
762,PUB,Tank (RC Tank),Area,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,Area,Area,m2,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
763,PUB,Tank (RC Tank),Height,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,Height,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
764,PUB,Tank (RC Tank),Thickness,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,Thickness,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
765,PUB,Tank (RC Tank),NominalCapacity,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,NominalCapacity,Volume,m3,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
766,PUB,Tank (RC Tank),EffectiveCapacity,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,EffectiveCapacity,Volume,m3,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
767,PUB,Tank (RC Tank),Is Potable,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,IsPotable,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
768,PUB,Type Bedding for Pipe,BeddingType,Generic Models,Object,N.A,Object,STR,IfcPipeSegment,*FOUNDATION,SGPset_PipeSegment,BeddingType,Label,N.A,N.A,N.A,"Type 1, Type 2, Type 3",IfcPipeSegmentFOUNDATION,okay,PipeSegment,PipeSegment,okay
769,SCDF,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,*LANDINGVALVE,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveLANDINGVALVE,okay,Valve,#N/A,#N/A
770,SCDF,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,*SPRINKLERCONTROL,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveSPRINKLERCONTROL,okay,Valve,#N/A,#N/A
771,PUB,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,DOUBLECHECK,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveDOUBLECHECK,check,Valve,#N/A,#N/A
772,PUB,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,MIXING,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveMIXING,check,Valve,#N/A,#N/A
773,PUB,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,*AIRADMITTANCE,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveAIRADMITTANCE,okay,Valve,#N/A,#N/A
774,PUB,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,*DRAINOFFCOCK,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveDRAINOFFCOCK,okay,Valve,#N/A,#N/A
775,NEA,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,CHECK,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveCHECK,check,Valve,#N/A,#N/A
776,NEA,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,ISOLATING,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveISOLATING,check,Valve,#N/A,#N/A
777,PUB,Valve,N.A,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,FAUCET,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcValveFAUCET,check,Valve,#N/A,#N/A
778,All,Valve,System Name,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,"*LANDINGVALVE, *SPRINKLERCONTROL, DOUBLECHECK, MIXING, *AIRADMITTANCE, *DRAINOFFCOCK, CHECK, ISOLATING, FAUCET",SGPset_Valve,SystemName,N.A,N.A,N.A,N.A,N.A,,,,,
779,All,Valve,System Type,Pipe Accessories,Pipe In-line Flow Device,N.A,Valve,MEP,IfcValve,"*LANDINGVALVE, *SPRINKLERCONTROL, DOUBLECHECK, MIXING, *AIRADMITTANCE, *DRAINOFFCOCK, CHECK, ISOLATING, FAUCET",SGPset_Valve,SystemType,N.A,N.A,N.A,N.A,N.A,,,,,
780,NParks,Wall,N.A,Walls,Wall,Panel,Wall,ARC,IfcWall,*BOUNDARYWALL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWallBOUNDARYWALL,okay,Wall,#N/A,#N/A
781,URA,Wall,N.A,Walls,Wall,Panel,Wall,ARC,IfcWall,PARAPET,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWallPARAPET,check,Wall,#N/A,#N/A
782,URA,Wall,N.A,Walls,Wall,Panel,Wall,ARC,IfcWall,RETAININGWALL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWallRETAININGWALL,check,Wall,#N/A,#N/A
783,BCA,Wall,Construction Method,Walls,Wall,Panel,Wall,ARC,IfcWall,"*BOUNDARYWALL, PARAPET, RETAININGWALL",SGPset_Wall,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,"IfcWallBOUNDARYWALL, PARAPET, RETAININGWALL",skip,Wall,Wall,okay
784,BCA,Wall,Is Party Wall,Walls,Wall,Panel,Wall,ARC,IfcWall,"*BOUNDARYWALL, PARAPET, RETAININGWALL",SGPset_Wall,IsPartyWall,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcWallBOUNDARYWALL, PARAPET, RETAININGWALL",skip,Wall,Wall,okay
785,BCA,Wall,Arrangement Type,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,ArrangementType,Label,N.A,N.A,N.A,N.A,IfcWallN.A,skip,Wall,Wall,okay
786,BCA,Wall,Beam Façade,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,BeamFaçade,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcWallN.A,skip,Wall,Wall,okay
787,BCA,Wall,Construction Method,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcWallN.A,skip,Wall,Wall,okay
788,BCA,Wall,Double Bay Façade,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,DoubleBayFaçade,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcWallN.A,skip,Wall,Wall,okay
789,BCA,Wall,Horizontal Rebar,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_WallReinforcement,HorizontalRebar,Label,N.A,N.A,N.A,2H13-100,IfcWallN.A,skip,Wall,Wall,okay
790,BCA,Wall,Is External,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,IsExternal,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcWallN.A,skip,Wall,Wall,okay
791,BCA,Wall,Load Bearing,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,LoadBearing,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcWallN.A,skip,Wall,Wall,okay
792,BCA,Wall,Mark,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_WallDimension,Mark,Label,N.A,N.A,N.A,W1,IfcWallN.A,skip,Wall,Wall,okay
793,BCA,Wall,Material Grade,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Material,MaterialGrade,Label,N.A,Name,"C12/15, C20/25, C30/37, C32/40, C35/45, C40/50, C50/60, C55/67, C60/75, C70/85, C80/95, S235, S275, S355, S460",N.A,IfcWallN.A,skip,Wall,Mate,check
794,BCA,Wall,Mechanical Connection Type,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,MechanicalConnectionType,Label,N.A,N.A,"grouted sleeves, spiral connector, flexible loops",N.A,IfcWallN.A,skip,Wall,Wall,okay
795,BCA,Wall,Prefabricated Reinforcement Cage,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,PrefabricatedReinforcementCage,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcWallN.A,skip,Wall,Wall,okay
796,BCA,Wall,Prefinished Façade,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,PrefinishedFaçade,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcWallN.A,skip,Wall,Wall,okay
797,BCA,Wall,ReferTo2DDetail,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,ReferTo2DDetail,Label,N.A,N.A,N.A,Dwg Number,IfcWallN.A,skip,Wall,Wall,okay
798,BCA,Wall,Reinforcement Steel Grade,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,ReinforcementSteelGrade,Label,N.A,N.A,"500A, 500B, 500C, 600A, 600B, 600C",N.A,IfcWallN.A,skip,Wall,Wall,okay
799,BCA,Wall,Shelter Usage,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_Wall,ShelterUsage,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcWallN.A,skip,Wall,Wall,okay
800,BCA,Wall,Stirrups,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_WallReinforcement,Stirrups,Label,N.A,N.A,N.A,H10-150-300,IfcWallN.A,skip,Wall,Wall,okay
801,BCA,Wall,Stirrups Type,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_WallReinforcement,StirrupsType,Label,N.A,N.A,"Normal, U, C, CL, Torsion",N.A,IfcWallN.A,skip,Wall,Wall,okay
802,BCA,Wall,Thickness,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_WallDimension,Thickness,Length,mm,N.A,N.A,300,IfcWallN.A,skip,Wall,Wall,okay
803,BCA,Wall,Vertical Rebar,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_WallReinforcement,VerticalRebar,Label,N.A,N.A,N.A,H32-150+H25-150,IfcWallN.A,skip,Wall,Wall,okay
804,BCA,Wall,Working Load DA1-1,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_WallStructuralLoad,WorkingLoad_DA1-1,Integer,kN,N.A,N.A,1234,IfcWallN.A,skip,Wall,Wall,okay
805,BCA,Wall,Working Load DA1-2,Walls,Wall,Concrete Panel,Wall,STR,IfcWall,N.A,SGPset_WallStructuralLoad,WorkingLoad_DA1-2,Integer,kN,N.A,N.A,1234,IfcWallN.A,skip,Wall,Wall,okay
806,PUB,Waste Terminal,N.A,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,FLOORTRAP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWasteTerminalFLOORTRAP,check,WasteTerminal,#N/A,#N/A
807,PUB,Waste Terminal,N.A,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,FLOORWASTE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWasteTerminalFLOORWASTE,check,WasteTerminal,#N/A,#N/A
808,PUB,Waste Terminal,N.A,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,GULLYSUMP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWasteTerminalGULLYSUMP,check,WasteTerminal,#N/A,#N/A
809,PUB,Waste Terminal,N.A,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,GULLYTRAP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWasteTerminalGULLYTRAP,check,WasteTerminal,#N/A,#N/A
810,PUB,Waste Terminal,N.A,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,WASTETRAP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWasteTerminalWASTETRAP,check,WasteTerminal,#N/A,#N/A
811,PUB,Waste Terminal,N.A,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,*WASTESUMP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcWasteTerminalWASTESUMP,okay,WasteTerminal,#N/A,#N/A
812,PUB,Waste Terminal,Material,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,"FLOORTRAP, FLOORWASTE, GULLYSUMP, GULLYTRAP, WASTETRAP, *WASTESUMP",SGPset_Material,Material,Label,N.A,Name,N.A,N.A,"IfcWasteTerminalFLOORTRAP, FLOORWASTE, GULLYSUMP, GULLYTRAP, WASTETRAP, *WASTESUMP",skip,WasteTerminal,Material,check
813,NEA,Waste Terminal,Trade Effluent,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,"FLOORTRAP, FLOORWASTE, GULLYSUMP, GULLYTRAP, WASTETRAP, *WASTESUMP",SGPset_WasteTerminal,TradeEffluent,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcWasteTerminalFLOORTRAP, FLOORWASTE, GULLYSUMP, GULLYTRAP, WASTETRAP, *WASTESUMP",skip,WasteTerminal,WasteTerminal,okay
814,All,Waste Terminal,System Name,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,"FLOORTRAP, FLOORWASTE, GULLYSUMP, GULLYTRAP, WASTETRAP, *WASTESUMP",SGPset_WasteTerminal,SystemName,Label,N.A,N.A,N.A,N.A,"IfcWasteTerminalFLOORTRAP, FLOORWASTE, GULLYSUMP, GULLYTRAP, WASTETRAP, *WASTESUMP",skip,WasteTerminal,WasteTerminal,okay
815,All,Waste Terminal,System Type,Pipe Accessories,Pipe Flow Terminal,N.A,Fixture,MEP,IfcWasteTerminal,"FLOORTRAP, FLOORWASTE, GULLYSUMP, GULLYTRAP, WASTETRAP, *WASTESUMP",SGPset_WasteTerminal,SystemType,Label,N.A,N.A,N.A,N.A,"IfcWasteTerminalFLOORTRAP, FLOORWASTE, GULLYSUMP, GULLYTRAP, WASTETRAP, *WASTESUMP",skip,WasteTerminal,WasteTerminal,okay
816,PUB,Water Meter,Capacity,Pipe Accessories,Pipe In-line Flow Device,N.A,Pipe Accessory,MEP,IfcFlowMeter,WATERMETER,SGPset_FlowMeter,Capacity,VolumetricFlowRate,L/s,N.A,N.A,N.A,IfcFlowMeterWATERMETER,check,FlowMeter,FlowMeter,okay
817,PUB,Water Meter,Diameter,Pipe Accessories,Pipe In-line Flow Device,N.A,Pipe Accessory,MEP,IfcFlowMeter,WATERMETER,SGPset_FlowMeterDimension,Diameter,Length,mm,N.A,N.A,N.A,IfcFlowMeterWATERMETER,check,FlowMeter,FlowMeter,okay
818,PUB,Water Meter,Length,Pipe Accessories,Pipe In-line Flow Device,N.A,Pipe Accessory,MEP,IfcFlowMeter,WATERMETER,SGPset_FlowMeterDimension,Length,Length,mm,N.A,N.A,N.A,IfcFlowMeterWATERMETER,check,FlowMeter,FlowMeter,okay
819,PUB,Water Meter,Purpose,Pipe Accessories,Pipe In-line Flow Device,N.A,Pipe Accessory,MEP,IfcFlowMeter,WATERMETER,Pset_FlowMeterOccurrence,Purpose,Label,N.A,N.A,N.A,PRIVATE,IfcFlowMeterWATERMETER,check,FlowMeter,FlowMeter,okay
